shot,sub_start,sub_end
350,2271,2311
351,2241,2281
352,2266,2306
353,2291,2331
354,2286,2326
355,2256,2296
356,2251,2291
357,2271,2311
358,2296,2336
359,2271,2311
360,2261,2301
361,2266,2306
362,2266,2306
363,2266,2306
364,2246,2286
365,2276,2316
366,2251,2291
367,2301,2341
368,2231,2271
369,2281,2321
370,2241,2281
371,2306,2346
372,2286,2326
373,2246,2286
374,2286,2326
375,2251,2291
376,2306,2346
377,2276,2316
378,2276,2316
379,2276,2316
380,2311,2351
381,2291,2331
382,2281,2321
383,2296,2336
384,2296,2336
385,2266,2306
386,2271,2311
387,2316,2356
388,2291,2331
389,2246,2286
390,2281,2321
391,2271,2311
392,2256,2296
393,2281,2321
394,2271,2311
395,2261,2301
396,2266,2306
397,2286,2326
398,2276,2316
399,2301,2341
400,2296,2336
401,2286,2326
402,2251,2291
403,2281,2321
404,2301,2341
405,2261,2301
406,2266,2306
407,2256,2296
408,2266,2306
409,2321,2361
410,2316,2356
411,2261,2301
412,2266,2306
413,2281,2321
414,2281,2321
415,2281,2321
416,2246,2286
417,2266,2306
418,2261,2301
419,2296,2336
420,2331,2371
421,2291,2331
422,2261,2301
423,2246,2286
424,2221,2261
425,2251,2291
426,2281,2321
427,2276,2316
428,2276,2316
429,2251,2291
430,2291,2331
431,2276,2316
432,2281,2321
433,2301,2341
434,2271,2311
435,2291,2331
436,2256,2296
437,2271,2311
438,2296,2336
439,2261,2301
440,2251,2291
441,2236,2276
442,2286,2326
443,2281,2321
444,2291,2331
445,2266,2306
446,2281,2321
447,2281,2321
448,2256,2296
449,2256,2296
450,2311,2351
451,2261,2301
452,2256,2296
453,2266,2306
454,2256,2296
455,2256,2296
456,2261,2301
457,2241,2281
458,2226,2266
459,2281,2321
460,2256,2296
461,2266,2306
462,2266,2306
463,2256,2296
464,2261,2301
465,2251,2291
466,2241,2281
467,2236,2276
468,2246,2286
469,2256,2296
470,2301,2341
471,2281,2321
472,2266,2306
473,2306,2346
474,2296,2336
475,2171,2211
476,2276,2316
477,2266,2306
478,2326,2366
479,2226,2266
480,2271,2311
481,2301,2341
482,2261,2301
483,2261,2301
484,2236,2276
485,2301,2341
486,2311,2351
487,2276,2316
488,2256,2296
489,2306,2346
490,2246,2286
491,2266,2306
492,2251,2291
493,2251,2291
494,2231,2271
495,2276,2316
496,2246,2286
497,2276,2316
498,2246,2286
499,2236,2276
500,2316,2356
501,2276,2316
502,2196,2236
503,2281,2321
504,2301,2341
505,2271,2311
506,2266,2306
507,2221,2261
508,2271,2311
509,2266,2306
510,2226,2266
511,2231,2271
512,2271,2311
513,2276,2316
514,2286,2326
515,2306,2346
516,2241,2281
517,2286,2326
518,2241,2281
519,2241,2281
520,2256,2296
521,2276,2316
522,2256,2296
523,2281,2321
524,2306,2346
525,2271,2311
526,2256,2296
527,2236,2276
528,2266,2306
529,2256,2296
530,2276,2316
531,2286,2326
532,2256,2296
533,2296,2336
534,2296,2336
535,2296,2336
536,2251,2291
537,2271,2311
538,2291,2331
539,2286,2326
540,2236,2276
541,2231,2271
542,2251,2291
543,2231,2271
544,2256,2296
545,2271,2311
546,2281,2321
547,2271,2311
548,2256,2296
549,2246,2286
550,2276,2316
551,2241,2281
552,2206,2246
553,2241,2281
554,2241,2281
555,2296,2336
556,2291,2331
557,2311,2351
558,2276,2316
559,2276,2316
560,2311,2351
561,2256,2296
562,2291,2331
563,2246,2286
564,2256,2296
565,2266,2306
566,2291,2331
567,2236,2276
568,2286,2326
569,2246,2286
570,2261,2301
571,2256,2296
572,2271,2311
573,2281,2321
574,2286,2326
575,2306,2346
576,2241,2281
577,2281,2321
578,2261,2301
579,2301,2341
580,2276,2316
581,2256,2296
582,2261,2301
583,2301,2341
584,2266,2306
585,2261,2301
586,2251,2291
587,2221,2261
588,2286,2326
589,2231,2271
590,2266,2306
591,2276,2316
592,2251,2291
593,2236,2276
594,2251,2291
595,2236,2276
596,2261,2301
597,2221,2261
598,2246,2286
599,2236,2276
600,2196,2236
601,2226,2266
602,5401,5441
603,4741,4781
604,4226,4266
605,3926,3966
606,3646,3686
607,3456,3496
608,3361,3401
609,3181,3221
610,3161,3201
611,3141,3181
612,3011,3051
613,2866,2906
614,2856,2896
615,2786,2826
616,2696,2736
617,2656,2696
618,2591,2631
619,2606,2646
620,2536,2576
621,2521,2561
622,2461,2501
623,2466,2506
624,2366,2406
625,2326,2366
626,2306,2346
627,2321,2361
628,2351,2391
629,2256,2296
630,2251,2291
631,2261,2301
632,2276,2316
633,2241,2281
634,2246,2286
635,2276,2316
636,2281,2321
637,2266,2306
638,2266,2306
639,2296,2336
640,2241,2281
641,2236,2276
642,2256,2296
643,2286,2326
644,2311,2351
645,2246,2286
646,2311,2351
647,2246,2286
648,2246,2286
649,2261,2301
650,2256,2296
651,2226,2266
652,2251,2291
653,2256,2296
654,2301,2341
655,2271,2311
656,2251,2291
657,2236,2276
658,2286,2326
659,2266,2306
660,2261,2301
661,2301,2341
662,2246,2286
663,2271,2311
664,2296,2336
665,2271,2311
666,2401,2441
667,2286,2326
668,2271,2311
669,2246,2286
670,2231,2271
671,2246,2286
672,2271,2311
673,2246,2286
674,2261,2301
675,2246,2286
676,2256,2296
677,2281,2321
678,2266,2306
679,2251,2291
680,2306,2346
681,2251,2291
682,2276,2316
683,2281,2321
684,2301,2341
685,2296,2336
686,2281,2321
687,2266,2306
688,2301,2341
689,2296,2336
690,2271,2311
691,2261,2301
692,2286,2326
693,2301,2341
694,2286,2326
695,2291,2331
696,2271,2311
697,2241,2281
698,2281,2321
699,2261,2301
700,2256,2296
701,2261,2301
702,2256,2296
703,2261,2301
704,2261,2301
705,2311,2351
706,2301,2341
707,2276,2316
708,2256,2296
709,2291,2331
710,2271,2311
711,2261,2301
